nuts3;nuts2;bidding_zone
DEG0N;DEG0;DE_LU
DEG0P;DEG0;DE_LU
DK011;DK01;DK_2
DK012;DK01;DK_2
DK013;DK01;DK_2
DK014;DK01;DK_2
DK021;DK02;DK_2
DK022;DK02;DK_2
DK031;DK03;DK_1
DK032;DK03;DK_1
DK041;DK04;DK_1
DK042;DK04;DK_1
DK050;DK05;DK_1
EE001;EE00;EE
EE004;EE00;EE
EE006;EE00;EE
EE007;EE00;EE
EE008;EE00;EE
EL301;EL30;GR
EL302;EL30;GR
EL303;EL30;GR
EL304;EL30;GR
EL305;EL30;GR
EL306;EL30;GR
EL307;EL30;GR
EL411;EL41;GR
EL412;EL41;GR
EL413;EL41;GR
EL421;EL42;GR
EL422;EL42;GR
EL431;EL43;GR
EL432;EL43;GR
EL433;EL43;GR
EL434;EL43;GR
EL511;EL51;GR
EL512;EL51;GR
EL513;EL51;GR
EL514;EL51;GR
EL515;EL51;GR
EL521;EL52;GR
EL522;EL52;GR
EL523;EL52;GR
EL524;EL52;GR
EL525;EL52;GR
EL526;EL52;GR
EL527;EL52;GR
EL531;EL53;GR
EL532;EL53;GR
EL533;EL53;GR
EL541;EL54;GR
EL542;EL54;GR
EL543;EL54;GR
EL611;EL61;GR
EL612;EL61;GR
EL613;EL61;GR
EL621;EL62;GR
EL622;EL62;GR
EL623;EL62;GR
EL624;EL62;GR
EL631;EL63;GR
EL632;EL63;GR
EL633;EL63;GR
EL641;EL64;GR
EL642;EL64;GR
EL643;EL64;GR
EL644;EL64;GR
EL645;EL64;GR
EL651;EL65;GR
EL652;EL65;GR
EL653;EL65;GR
ELZZZ;ELZZ;GR
ES111;ES11;ES
ES112;ES11;ES
ES113;ES11;ES
ES114;ES11;ES
ES120;ES12;ES
ES130;ES13;ES
ES211;ES21;ES
ES212;ES21;ES
ES213;ES21;ES
ES220;ES22;ES
ES230;ES23;ES
ES241;ES24;ES
ES242;ES24;ES
ES243;ES24;ES
ES300;ES30;ES
ES411;ES41;ES
ES412;ES41;ES
ES413;ES41;ES
ES414;ES41;ES
ES415;ES41;ES
ES416;ES41;ES
ES417;ES41;ES
ES418;ES41;ES
ES419;ES41;ES
ES421;ES42;ES
ES422;ES42;ES
ES423;ES42;ES
ES424;ES42;ES
ES425;ES42;ES
ES431;ES43;ES
ES432;ES43;ES
ES511;ES51;ES
ES512;ES51;ES
ES513;ES51;ES
ES514;ES51;ES
ES521;ES52;ES
ES522;ES52;ES
ES523;ES52;ES
ES531;ES53;ES
ES532;ES53;ES
ES533;ES53;ES
ES611;ES61;ES
ES612;ES61;ES
ES613;ES61;ES
ES614;ES61;ES
ES615;ES61;ES
ES616;ES61;ES
ES617;ES61;ES
ES618;ES61;ES
ES620;ES62;ES
ES630;ES63;ES
ES640;ES64;ES
ES703;ES70;ES
ES704;ES70;ES
ES705;ES70;ES
ES706;ES70;ES
ES707;ES70;ES
ES708;ES70;ES
ES709;ES70;ES
FI193;FI19;FI
FI194;FI19;FI
FI195;FI19;FI
FI196;FI19;FI
FI197;FI19;FI
FI1B1;FI1B;FI
FI1C1;FI1C;FI
FI1C2;FI1C;FI
FI1C3;FI1C;FI
FI1C4;FI1C;FI
FI1C5;FI1C;FI
FI1D1;FI1D;FI
FI1D2;FI1D;FI
FI1D3;FI1D;FI
FI1D4;FI1D;FI
FI1D5;FI1D;FI
FI1D6;FI1D;FI
FI1D7;FI1D;FI
FI200;FI20;FI
FRA30;FRA3;FR
FRA40;FRA4;FR
FR101;FR10;FR
FR102;FR10;FR
FR103;FR10;FR
FR104;FR10;FR
FR105;FR10;FR
FR106;FR10;FR
FR107;FR10;FR
FR108;FR10;FR
FR211;FR21;FR
FR212;FR21;FR
FR213;FR21;FR
FR214;FR21;FR
FR221;FR22;FR
FR222;FR22;FR
FR223;FR22;FR
FR231;FR23;FR
FR232;FR23;FR
FR241;FR24;FR
FR242;FR24;FR
FR243;FR24;FR
FR244;FR24;FR
FR245;FR24;FR
FR246;FR24;FR
FR251;FR25;FR
FR252;FR25;FR
FR253;FR25;FR
FR261;FR26;FR
FR262;FR26;FR
FR263;FR26;FR
FR264;FR26;FR
FR301;FR30;FR
FR302;FR30;FR
FR411;FR41;FR
FR412;FR41;FR
FR413;FR41;FR
FR414;FR41;FR
FR421;FR42;FR
FR422;FR42;FR
FR431;FR43;FR
FR432;FR43;FR
FR433;FR43;FR
FR434;FR43;FR
FR511;FR51;FR
FR512;FR51;FR
FR513;FR51;FR
FR514;FR51;FR
FR515;FR51;FR
FR521;FR52;FR
FR522;FR52;FR
FR523;FR52;FR
FR524;FR52;FR
FR531;FR53;FR
